City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Tshikapa,CD,71.17,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
283,Alta Floresta,BR,74.34,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
288,Casambalangan,PH,73.58,scattered clouds,18.3765,122.1274,Villa Saturnina
297,Gashua,NG,66.81,clear sky,12.870999999999999,11.0482,Forte Oil - Old Lorry Park
300,Unai,BR,73.27,overcast clouds,-16.3575,-46.9061,Hotel Regente
301,Paungde,MM,70.02,clear sky,18.4833,95.5,Shwe Eain Matt highly cool guest house
307,Estelle,US,66.99,broken clouds,29.8458,-90.1067,Ohio
308,Okato,NZ,69.01,clear sky,-39.2,173.8833,Goodin Country Garden
312,Amuntai,ID,74.26,overcast clouds,-2.4177,115.2494,Hotel Balqis
314,Marsa Matruh,EG,60.8,broken clouds,31.3525,27.2453,Beau Site
318,Camopi,GF,72.28,overcast clouds,3.1655,-52.3158,
321,Nador,MA,57.2,clear sky,35.174,-2.9287,Hôtel La Giralda
324,Tessalit,ML,67.28,scattered clouds,20.1986,1.0114,
326,Ouadda,CF,73.29,clear sky,8.0777,22.4007,
327,Najran,SA,57.2,clear sky,17.4924,44.1277,محمد هادي ال فطيح
329,Kaitangata,NZ,57.99,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
334,Airai,TL,67.39,overcast clouds,-8.9266,125.4092,Juvinal Martin
340,Bondo,CD,71.47,overcast clouds,3.8146,23.6866,
342,Surt,LY,60.6,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
344,Santo Antonio Do Sudoeste,BR,64.81,light rain,-26.0736,-53.7253,Hotel Frontera
348,Grand-Santi,GF,72.55,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
349,Pisco,PE,71.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
352,Batemans Bay,AU,73.99,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
354,Kruisfontein,ZA,62.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
361,Lahaina,US,73.4,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
368,Bangaon,IN,57.2,mist,23.0667,88.8167,Manigram Mallik Bari West Bengal
370,Ikom,NG,70.86,scattered clouds,5.9667,8.7063,Reho Farm & Resort
371,Caapucu,PY,69.19,clear sky,-26.2167,-57.2,Porton Estancia Santa Clara
378,Mecca,SA,70.97,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
379,Vila Franca Do Campo,PT,55.4,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
381,Ixtapa,MX,71.6,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
385,Pokhara,NP,56.82,overcast clouds,28.2333,83.9833,Hotel View Point
387,Ambilobe,MG,73.62,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
388,Garissa,KE,74.62,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
389,Yulara,AU,68.0,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
390,Kamarion,GR,57.0,clear sky,36.8,25.8167,Rooms Eleni
392,Tuatapere,NZ,67.3,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
395,Paracatu,BR,73.2,overcast clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
396,Nishihara,JP,66.2,scattered clouds,26.1842,127.7558,Minshuku Agaihama
404,Tabuk,PH,72.0,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
411,Ayolas,PY,68.23,clear sky,-27.4,-56.9,Hotel Ayolas
414,Arlit,NE,63.81,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
415,Itoman,JP,66.2,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
417,Gombe,NG,69.01,clear sky,10.2897,11.1673,Custodian Hotel Gombe
418,Ensley,US,63.0,overcast clouds,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10
427,Los Llanos De Aridane,ES,59.0,scattered clouds,28.6585,-17.9182,Valle Aridane
432,Bail Hongal,IN,59.0,few clouds,15.8167,74.8667,Sangam residency (Lodge)
435,Pasighat,IN,60.26,few clouds,28.0667,95.3333,Siang Guest House
443,Dondaicha,IN,67.23,clear sky,21.3333,74.5667,Mahavir Farm House
445,Saurimo,AO,64.35,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
455,Paita,PE,74.08,light rain,-5.0892,-81.1144,Hotel Náutico de Paita
465,Pacific Grove,US,57.0,clear sky,36.6177,-121.9166,Lovers Point Inn
466,Zambezi,ZM,64.87,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
467,Kopong,BW,69.8,light rain,-24.4833,25.8833,Kopong Guest House
469,Lebu,CL,61.68,clear sky,-37.6167,-73.65,Hostal Las Lilas
471,San Joaquin,US,57.2,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
476,Zurrieq,MT,59.0,clear sky,35.8311,14.4742,Ta'Bertu Guest House
478,Homnabad,IN,60.85,clear sky,17.7667,77.1333,Marthand Vilas
