City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Beruwala,LK,2021-01-31 19:42:57,6.4788,79.9828,74.75,89,41,3.47
68,Beringovskiy,RU,2021-01-31 19:42:57,63.05,179.3167,11.12,96,100,26.82
69,Leticia,CO,2021-01-31 19:42:57,-4.2153,-69.9406,82.4,89,75,8.05
70,Salalah,OM,2021-01-31 19:42:57,17.0151,54.0924,71.6,64,0,3.44
71,Hithadhoo,MV,2021-01-31 19:42:57,-0.6,73.0833,82.6,76,100,13.04
72,Anadyr,RU,2021-01-31 19:42:57,64.75,177.4833,5.0,85,90,22.37
73,Miles City,US,2021-01-31 19:42:57,46.4083,-105.8406,35.6,64,1,6.91
74,Kaitangata,NZ,2021-01-31 19:42:57,-46.2817,169.8464,55.63,83,100,1.79
75,Cape Town,ZA,2021-01-31 19:40:00,-33.9258,18.4232,70.0,88,75,9.22
76,Severo-Kurilsk,RU,2021-01-31 19:42:58,50.6789,156.125,21.81,93,88,42.23
77,Teya,RU,2021-01-31 19:42:58,60.3778,92.6267,-24.09,80,95,1.81
78,Tyukalinsk,RU,2021-01-31 19:42:58,55.8732,72.1967,2.93,94,7,6.58
79,Tasiilaq,GL,2021-01-31 19:42:58,65.6145,-37.6368,14.0,57,75,2.68
80,Novikovo,RU,2021-01-31 19:42:58,51.1537,37.8879,26.2,94,100,11.32
81,Raga,SS,2021-01-31 19:42:58,8.4596,25.678,73.09,21,0,3.89
82,Itarema,BR,2021-01-31 19:42:58,-2.9248,-39.9167,83.17,71,0,16.55
83,Bodden Town,KY,2021-01-31 19:42:58,19.2833,-81.25,84.2,61,40,12.66
84,Barrow,US,2021-01-31 19:40:03,71.2906,-156.7887,-18.4,69,90,8.05
85,Campoverde,PE,2021-01-31 19:42:58,-8.4753,-74.8058,80.6,89,75,8.05
86,Chuy,UY,2021-01-31 19:42:58,-33.6971,-53.4616,69.3,85,100,16.82
87,Kiunga,PG,2021-01-31 19:42:58,-6.1219,141.2906,72.7,98,100,3.0
88,Shar,KZ,2021-01-31 19:42:59,49.5886,81.0453,6.42,89,100,7.25
89,Jamestown,US,2021-01-31 19:42:59,42.097,-79.2353,32.0,74,90,12.66
90,Pevek,RU,2021-01-31 19:42:59,69.7008,170.3133,-26.23,85,100,0.98
91,Lebu,CL,2021-01-31 19:42:59,-37.6167,-73.65,61.47,74,0,16.04
92,Hamilton,US,2021-01-31 19:42:59,39.1834,-84.5333,39.99,93,90,3.44
93,Iqaluit,CA,2021-01-31 19:42:59,63.7506,-68.5145,-5.8,77,75,3.44
94,Slave Lake,CA,2021-01-31 19:40:10,55.2834,-114.769,6.8,78,1,12.66
95,Chokurdakh,RU,2021-01-31 19:42:59,70.6333,147.9167,-27.31,87,88,11.05
96,Aykhal,RU,2021-01-31 19:42:59,66.0,111.5,-39.42,79,100,10.11
97,Chiang Klang,TH,2021-01-31 19:42:59,19.2938,100.8617,68.49,63,100,1.12
98,Karhal,IN,2021-01-31 19:42:59,27.0003,78.9414,51.22,45,0,1.63
99,Mahibadhoo,MV,2021-01-31 19:42:59,3.7833,72.9667,81.43,78,95,11.81
100,Abu Zabad,SD,2021-01-31 19:39:16,12.35,29.25,71.1,21,0,10.22
101,Marawi,PH,2021-01-31 19:43:00,7.9986,124.2928,75.0,93,100,1.01
102,Gebre Guracha,ET,2021-01-31 19:43:00,9.8,38.4,55.26,38,0,8.1
103,Ormara,PK,2021-01-31 19:43:00,25.2088,64.6357,69.85,80,0,10.87
104,Nouadhibou,MR,2021-01-31 19:41:25,20.931,-17.0347,68.0,73,90,16.11
