City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Patricio,US,28.017,-97.5169,73.4,68,40,12.66,scattered clouds
80,Havoysund,NO,70.9963,24.6622,30.2,74,75,13.8,light snow
81,Sechura,PE,-5.5569,-80.8222,77.99,62,77,13.89,broken clouds
82,Mafinga,TZ,-7.25,35.0667,64.78,94,0,1.88,clear sky
83,Flinders,AU,-34.5833,150.8552,82.99,71,4,5.01,clear sky
84,Nanakuli,US,21.3906,-158.1547,75.2,50,40,11.5,scattered clouds
85,Dickinson,US,29.4608,-95.0513,70.0,83,89,6.51,overcast clouds
86,Samarai,PG,-10.6167,150.6667,84.38,68,18,2.62,few clouds
87,Arraial Do Cabo,BR,-22.9661,-42.0278,77.4,83,0,26.82,clear sky
88,Tacna,PE,-18.0056,-70.2483,69.8,73,0,5.75,clear sky
89,Avarua,CK,-21.2078,-159.775,84.2,74,20,4.61,few clouds
90,Leningradskiy,RU,69.3833,178.4167,-26.66,85,100,11.16,overcast clouds
91,High Prairie,CA,55.4334,-116.4858,-2.2,65,75,2.3,broken clouds
92,Dunedin,NZ,-45.8742,170.5036,57.0,70,100,21.99,overcast clouds
93,Ostrovnoy,RU,68.0531,39.5131,11.73,93,100,21.07,overcast clouds
94,Port Alfred,ZA,-33.5906,26.891,66.0,88,35,8.66,scattered clouds
95,Yellowknife,CA,62.456,-114.3525,-27.0,68,20,9.22,few clouds
96,Silikatnyy,RU,53.9896,48.3275,33.8,100,90,11.18,light snow
97,Porto Santo,PT,33.072,-16.3415,53.6,82,75,8.05,broken clouds
98,Kavieng,PG,-2.5744,150.7967,84.88,73,97,9.44,light rain
99,Barcelona,ES,41.3888,2.159,54.0,87,75,0.76,broken clouds
100,Carnarvon,AU,-24.8667,113.6333,79.95,78,91,24.63,overcast clouds
101,Hami,CN,42.8,93.45,24.8,88,0,2.21,clear sky
102,Nome,US,64.5011,-165.4064,8.01,72,90,16.11,light snow
103,Las Choapas,MX,17.9333,-94.0833,75.2,73,1,5.93,clear sky
104,Grindavik,IS,63.8424,-22.4338,37.4,87,75,26.46,light intensity drizzle
105,Chapulhuacan,MX,21.1667,-98.9,66.88,78,0,2.55,clear sky
106,Sorland,NO,67.667,12.6934,37.09,78,100,20.45,overcast clouds
107,Talcahuano,CL,-36.7167,-73.1167,59.0,94,90,9.22,overcast clouds
108,Qaanaaq,GL,77.484,-69.3632,-20.6,61,56,8.16,broken clouds
109,Nikolskoye,RU,59.7035,30.7861,9.0,85,75,8.95,broken clouds
110,Tiksi,RU,71.6872,128.8694,-21.03,88,100,7.61,overcast clouds
111,Magnitogorsk,RU,53.4186,59.0472,33.8,100,90,11.18,overcast clouds
112,Pangai,TO,-19.8,-174.35,82.4,83,75,11.5,light rain
113,Puerto Escondido,MX,15.85,-97.0667,82.4,78,75,3.6,broken clouds
114,Ilulissat,GL,69.2167,-51.1,1.4,35,20,9.22,few clouds
115,Halifax,CA,44.6453,-63.5724,36.0,100,100,5.75,overcast clouds
116,Kodiak,US,57.79,-152.4072,33.8,69,1,2.71,clear sky
117,Poum,NC,-20.2333,164.0167,80.44,81,4,13.71,clear sky
118,Katsuura,JP,35.1333,140.3,48.0,39,20,10.36,few clouds
119,Hermanus,ZA,-34.4187,19.2345,64.99,88,22,1.99,few clouds
120,Roald,NO,62.5833,6.1333,23.0,54,0,9.22,clear sky
121,Saint George,US,37.1041,-113.5841,50.0,27,1,8.05,clear sky
122,Khatanga,RU,71.9667,102.5,-30.68,78,0,9.22,clear sky
123,Hofn,IS,64.2539,-15.2082,35.56,81,100,14.76,overcast clouds
124,Saldanha,ZA,-33.0117,17.9442,60.8,88,0,8.05,clear sky
125,Khadyzhensk,RU,44.4256,39.5319,48.74,79,100,11.56,moderate rain
126,Guerrero Negro,MX,27.9769,-114.0611,61.93,64,100,17.29,overcast clouds
127,Dubbo,AU,-32.25,148.6167,82.4,47,40,14.97,scattered clouds
128,Iqaluit,CA,63.7506,-68.5145,14.0,79,90,18.41,snow
129,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.9,82,0,21.83,clear sky
130,Cidreira,BR,-30.1811,-50.2056,69.31,72,6,17.36,clear sky
131,Sao Filipe,CV,14.8961,-24.4956,71.6,76,100,12.21,overcast clouds
132,Butaritari,KI,3.0707,172.7902,80.04,84,100,13.53,light rain
133,Port Moresby,PG,-9.4431,147.1797,86.0,70,20,11.5,few clouds
134,Isangel,VU,-19.55,169.2667,86.0,74,75,3.44,broken clouds
135,Natal,BR,-5.795,-35.2094,80.6,74,0,11.5,clear sky
136,Tasiilaq,GL,65.6145,-37.6368,26.6,80,75,10.36,light snow
137,Mahebourg,MU,-20.4081,57.7,77.0,78,20,6.91,few clouds
138,Tomatlan,MX,19.9333,-105.25,72.03,64,0,3.85,clear sky
139,Upernavik,GL,72.7868,-56.1549,-6.54,70,97,4.74,overcast clouds
140,Yashkul,RU,46.1711,45.3435,40.95,92,98,8.34,overcast clouds
141,Brookings,US,44.3114,-96.7984,14.0,79,20,16.11,few clouds
142,Fortuna,US,40.5982,-124.1573,52.0,71,1,12.66,clear sky
143,Cumberland,US,35.0502,-78.8664,46.4,49,1,5.75,clear sky
144,Port Elizabeth,ZA,-33.918,25.5701,66.2,88,0,2.3,clear sky
145,Pontes E Lacerda,BR,-15.2261,-59.3353,74.39,93,100,3.24,overcast clouds
146,Helong,CN,42.5397,128.9972,23.09,84,3,5.35,clear sky
147,Lodja,CD,-3.4833,23.4333,68.56,94,63,0.38,broken clouds
148,Berdigestyakh,RU,62.0989,126.6992,-34.28,82,5,3.65,clear sky
149,Stornoway,GB,58.2093,-6.3865,37.4,87,90,19.57,overcast clouds
150,Sevsk,RU,52.1491,34.4926,21.72,97,100,18.97,light snow
151,Okhotsk,RU,59.3833,143.3,3.22,87,100,13.27,overcast clouds
152,Ilebo,CD,-4.3167,20.5833,70.75,88,90,0.81,overcast clouds
153,Machali,CL,-34.1833,-70.6667,71.8,58,0,1.59,clear sky
154,Chokurdakh,RU,70.6333,147.9167,-13.81,86,98,20.04,overcast clouds
155,Antanifotsy,MG,-19.65,47.3167,60.87,92,100,2.46,overcast clouds
156,Kampot,KH,10.6167,104.1833,77.0,88,40,2.3,scattered clouds
157,Tiarei,PF,-17.5333,-149.3333,82.4,65,20,2.3,few clouds
158,Hobart,AU,-42.8794,147.3294,73.99,83,75,4.61,broken clouds
159,Mar Del Plata,AR,-38.0023,-57.5575,64.99,72,40,11.5,scattered clouds
160,Mildura,AU,-34.2,142.15,68.0,55,40,8.05,scattered clouds
161,Souillac,MU,-20.5167,57.5167,77.0,78,20,6.91,few clouds
162,Curitibanos,BR,-27.2828,-50.5844,58.41,100,27,3.67,scattered clouds
163,Bereda,ES,43.2686,-7.5406,46.0,89,99,1.99,overcast clouds
164,Zaysan,KZ,47.4667,84.8667,17.53,91,100,1.14,overcast clouds
165,Taoudenni,ML,22.6783,-3.9836,70.63,19,72,7.47,broken clouds
166,Nizip,TR,37.0097,37.7942,46.4,81,75,1.14,broken clouds
167,Hithadhoo,MV,-0.6,73.0833,82.08,77,100,11.12,overcast clouds
